id,date,type,content,media_file
25745592,2026-01-26T01:28:51+00:00,text,吃爽了，sol 132-119,
25745602,2026-01-26T01:29:47+00:00,text,又炒了个底，吃完买个雅阁绰绰有余,
25745619,2026-01-26T01:33:58+00:00,text,能买双r了,
25745640,2026-01-26T01:37:11+00:00,text,跑了,
25745653,2026-01-26T01:39:43+00:00,text,艹了,
25745654,2026-01-26T01:39:49+00:00,text,挂错单了,
25745656,2026-01-26T01:40:02+00:00,text,大饼何时也能疯起来，拉到150000,
25745662,2026-01-26T01:40:53+00:00,text,昨晚睡懵逼了挂现货里了,
25745702,2026-01-26T01:50:05+00:00,text,包浆了,
25745758,2026-01-26T01:52:19+00:00,text,River 这个币,
25745768,2026-01-26T01:52:31+00:00,text,有没有大佬来说说意见,
25745828,2026-01-26T01:54:40+00:00,text,到底该买啥呀,
25745834,2026-01-26T01:54:48+00:00,text,差不多幾十萬u吧,
25745840,2026-01-26T01:54:59+00:00,text,River 直接做多,
25745842,2026-01-26T01:55:02+00:00,text,…,
25745843,2026-01-26T01:55:02+00:00,text,来，我教你,
25745846,2026-01-26T01:55:11+00:00,text,到100开始空,
25745874,2026-01-26T01:56:53+00:00,text,跑了吗,
25745877,2026-01-26T01:57:00+00:00,text,不跑,
25745881,2026-01-26T01:57:13+00:00,text,怎么回事呢 有没有客服啊,
25745883,2026-01-26T01:57:14+00:00,text,你多少开得多,
25745884,2026-01-26T01:57:20+00:00,text,今天行情又来了吗,
25745906,2026-01-26T01:58:45+00:00,text,前些年交易所赚的盆满钵满，现在交易所能不能救救市场呢？点把火也行啊,
25745917,2026-01-26T01:59:38+00:00,text,肯定是不能,
25745924,2026-01-26T01:59:51+00:00,text,能的话早这么做啦,
25745930,2026-01-26T02:00:18+00:00,text,可放大十分鐘一組一千,
25745944,2026-01-26T02:01:06+00:00,text,88000上不了么,
25745947,2026-01-26T02:01:17+00:00,text,美国政府在周五前关门的概率创下历史新高。,
25745949,2026-01-26T02:01:22+00:00,text,兄弟们  多进去,
25745970,2026-01-26T02:02:45+00:00,text,U用完了，剩下一点100多UDOEG，还是留着玩别的项目吧,
25745971,2026-01-26T02:02:48+00:00,text,兄弟，SuperEx可以有全币种合约,
25745975,2026-01-26T02:02:52+00:00,text,直接划转到全币种合约开BTC多单，既能拿住小币种又能赚主流行情，一举两得？,
25745978,2026-01-26T02:02:57+00:00,text,还可以用任意币种做保证金，平仓零点差，强平划算点,
25745981,2026-01-26T02:03:02+00:00,text,可以用其它币种做保证金？上链接！,
25746161,2026-01-26T02:26:36+00:00,text,？,
25746162,2026-01-26T02:26:39+00:00,text,？,
25746173,2026-01-26T02:28:39+00:00,text,多头已经被挂树上了，根本不敢说话。,
25746175,2026-01-26T02:28:44+00:00,text,再打飞机昏迷过去了,
25746181,2026-01-26T02:30:07+00:00,text,加密货币完蛋了？,
25746182,2026-01-26T02:30:13+00:00,text,没人玩了要,
25746185,2026-01-26T02:30:52+00:00,text,等待下一批韭菜了属于,
25746188,2026-01-26T02:31:24+00:00,text,那要等两到四年周期,
25746190,2026-01-26T02:31:34+00:00,text,散了吧,
